Species_2012,Species_2017,Shannon_2012,Shannon_2017,Simpson_2012,Simpson_2017,Red_List_2012 (coefficient),Red_List_2017 (coefficient),Priority_2012 (coefficient),Priority_2017 (coefficient),AEO/UZL_2012 (raw number),AEO/UZL_2017 (raw number),land_use_intensity_2015,Plant_diversity_2015,ECA_all_2012,ECA_all_2017,ECA_extensive_2012,ECA_extensive_2017,ECA_little_intensive_2012,ECA_little_intensive_2017,ECA_wet_2012,ECA_wet_2017,Orchards_2012,Orchards_2017,connectivity,connectivity_stand
192,18,"3,17","2,74","0,94","0,93",0,4,18,21,6,4,6431,2.3,0.08,0.08,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.01,27.6,0.74
256,113,"3,39","3,33","0,95","0,96",8,1,43,28,5,5,7003,2.1,0.05,0.05,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.01,22.8,0.61
45,NA,"3,81",NA,"0,98",NA,6,NA,43,NA,8,NA,7866,2.0,0.05,0.07,0.04,0.05,0.01,0.01,0.00,0.00,0.00,0.00,25.9,0.69
241,220,"3,27","3,29","0,94","0,94",6,9,41,45,9,9,7221,2.0,0.21,0.24,0.07,0.10,0.02,0.01,0.10,0.11,0.00,0.00,28.1,0.75
195,226,"3,26","3,19","0,95","0,95",5,4,31,31,8,9,8228,1.8,0.09,0.11,0.07,0.09,0.01,0.00,0.00,0.00,0.01,0.02,26.3,0.70
190,459,"3,13","3,19","0,94","0,94",3,8,31,46,6,10,5567,3.0,0.19,0.22,0.14,0.18,0.02,0.03,0.01,0.01,0.00,0.00,36.7,0.98
28,28,"3,33","3,33","0,96","0,96",3,5,28,32,3,4,3132,4.5,0.13,0.13,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.27
159,199,3,"3,15","0,93","0,95",2,4,29,28,6,6,7234,2.4,0.03,0.04,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.01,18.6,0.50
39,45,"3,66","3,81","0,97","0,98",5,5,40,43,6,8,9038,1.6,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,31.1,0.83
94,458,"3,09","3,44","0,95","0,96",7,12,33,64,9,13,4570,3.9,0.19,0.26,0.12,0.14,0.02,0.01,0.00,0.00,0.01,0.00,21.5,0.57
170,223,"3,22","3,31","0,95","0,95",3,4,26,34,6,8,6245,2.4,0.05,0.08,0.04,0.08,0.01,0.00,0.00,0.00,0.00,0.01,28.8,0.77
84,250,"2,94","3,16","0,93","0,94",3,11,23,40,6,9,5295,3.3,0.18,0.20,0.11,0.13,0.02,0.02,0.01,0.01,0.00,0.00,24.6,0.66
